"","reference","species","compound","Mother_tissue","Mother_concentration","Mother_concentration_cen","Offspring_concentration","Offspring_concentration_cen","log_Kow_KOWWIN","logKOW_exp","logKOW_VEGA","Mol_Weigth_g.mol","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","RotatableBondCount","TopologicalPolarSurfaceArea","HeavyAtomCount","FormalCharge","Complexity","Volume","CASRN","PCB_coplanar","PCB_fourCl","PCB_twopara","PCB_twometa","compound_class_broad"
"1","Basile et al 2011","M. terrapin","HCB","liver_concentration",1.84952978056426,FALSE,0.52890528905289,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"2","Basile et al 2011","M. terrapin","Oxychlordane","liver_concentration",74.9216300940439,FALSE,87.5768757687577,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"3","Basile et al 2011","M. terrapin","PCB 74","liver_concentration",31.3479623824451,FALSE,43.2964329643296,FALSE,6.34,6.67,NA,"292",0,0,1,0,16,0,225,209.59,"32690-93-0","CP1","4CL","PP","-","PCB - Polychlorinated biphenyls"
"4","Basile et al 2011","M. terrapin","PCB 66","liver_concentration",21.5673981191223,FALSE,36.6543665436654,FALSE,6.34,6.31,NA,"292",0,0,1,0,16,0,233,209.59,"32598-10-0","CP1","4CL","PP","-","PCB - Polychlorinated biphenyls"
"5","Basile et al 2011","M. terrapin","PCB 99","liver_concentration",120.689655172414,FALSE,178.351783517835,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"6","Basile et al 2011","M. terrapin","p,p'-DDE","liver_concentration",162.382445141066,FALSE,209.10209102091,FALSE,5.87,NA,NA,"318",0,0,2,0,18,0,269,237.01,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"7","Basile et al 2011","M. terrapin","PCB 154","liver_concentration",8.74608150470219,FALSE,10.8610086100861,FALSE,7.62,NA,NA,"360.88",0,0,1,0,18,0,274,236.67,"60145-22-4","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"8","Basile et al 2011","M. terrapin","PCB 107","liver_concentration",3.76175548589342,FALSE,10.3690036900369,FALSE,6.98,NA,NA,"326.4",0,0,1,0,17,0,259,223.13,"70424-68-9","CP1","4CL","--","2M","PCB - Polychlorinated biphenyls"
"9","Basile et al 2011","M. terrapin","PCB 149","liver_concentration",3.38557993730408,FALSE,2.89052890528905,FALSE,7.62,7.28,NA,"360.9",0,0,1,0,18,0,286,236.67,"38380-04-0","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"10","Basile et al 2011","M. terrapin","PCB 118","liver_concentration",257.680250783699,FALSE,329.643296432964,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"11","Basile et al 2011","M. terrapin","p,p'-DDD","liver_concentration",3.82445141065831,FALSE,0.885608856088561,FALSE,5.87,6.02,NA,"320.05",0,0,3,0,18,0,218,243.25,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"12","Basile et al 2011","M. terrapin","PCB 188","liver_concentration",16.6457680250784,FALSE,1.08241082410824,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,287,250.2,"74487-85-7","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"13","Basile et al 2011","M. terrapin","PCB 146","liver_concentration",34.4827586206897,FALSE,34.6863468634686,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"14","Basile et al 2011","M. terrapin","PCB 153_132","liver_concentration",736.677115987461,FALSE,741.69741697417,FALSE,7.62,NA,NA,"360.9",0,0,1,0,18,0,NA,236.67,NA,NA,NA,NA,NA,"PCB - Polychlorinated biphenyls"
"15","Basile et al 2011","M. terrapin","PCB 105","liver_concentration",68.6520376175549,FALSE,84.1328413284133,FALSE,6.98,6.79,NA,"326.4",0,0,1,0,17,0,259,223.13,"32598-14-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"16","Basile et al 2011","M. terrapin","PCB 137","liver_concentration",5.23510971786834,FALSE,5.86715867158672,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35694-06-5","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"17","Basile et al 2011","M. terrapin","PCB 163","liver_concentration",41.3793103448276,FALSE,23.1242312423124,FALSE,7.62,7.2,NA,"360.9",0,0,1,0,18,0,272,236.67,"74472-44-9","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"18","Basile et al 2011","M. terrapin","PCB 138","liver_concentration",207.523510971787,FALSE,217.712177121771,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"19","Basile et al 2011","M. terrapin","PCB 158","liver_concentration",16.551724137931,FALSE,14.1451414514145,FALSE,7.62,NA,NA,"360.9",0,0,1,0,18,0,286,236.67,"74472-42-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
