"","reference","species","compound","Mother_concentration","Mother_concentration_cen","Offspring_concentration","Offspring_concentration_cen","log_Kow_KOWWIN","logKOW_exp","logKOW_VEGA","Mol_Weigth_g.mol","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","RotatableBondCount","TopologicalPolarSurfaceArea","HeavyAtomCount","FormalCharge","Complexity","Volume","CASRN","PCB_coplanar","PCB_fourCl","PCB_twopara","PCB_twometa","compound_class_broad"
"1","Hebert et al 1993","C. serpentina","HCB",316.109095570139,FALSE,484.031045988024,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"2","Hebert et al 1993","C. serpentina","Oxychlordane",140.07779466776,FALSE,163.814559041916,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"3","Hebert et al 1993","C. serpentina","Mirex",29.2638079491386,FALSE,217.899925988024,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"4","Hebert et al 1993","C. serpentina","PCB 99",548.629933059885,FALSE,716.796891137725,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"5","Hebert et al 1993","C. serpentina","PCB 118",1245.41191878589,FALSE,1452.6221988024,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"6","Hebert et al 1993","C. serpentina","PCB 146",110.804416981132,FALSE,128.694453293413,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"7","Hebert et al 1993","C. serpentina","PCB 105",131.938978096801,FALSE,137.88954994012,FALSE,6.98,6.79,NA,"326.4",0,0,1,0,17,0,259,223.13,"32598-14-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"8","Hebert et al 1993","C. serpentina","PCB 138",1506.43063740771,FALSE,1545.23961676647,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"9","Hebert et al 1993","C. serpentina","PCB 183",269.215200410172,FALSE,235.035901916168,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"10","Hebert et al 1993","C. serpentina","PCB 172",54.5604782444627,FALSE,52.0471313532934,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-74-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"11","Hebert et al 1993","C. serpentina","PCB 201",252.562061525841,FALSE,203.345070419162,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"12","Hebert et al 1993","C. serpentina","PCB 195",73.5180949220673,FALSE,57.8221881916168,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,323,263.74,"52663-78-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"13","Hebert et al 1993","C. serpentina","PCB 194",225.751154716981,FALSE,145.88276251497,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"14","Hebert et al 1993","C. serpentina","PCB 206",88.3075540607055,FALSE,111.779328491018,FALSE,9.56,9.14,NA,"464.2",0,0,1,0,21,0,351,277.27,"40186-72-9","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"15","Hebert et al 1993","C. serpentina","HCB",4.16846045560748,FALSE,3.65076158398087,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"16","Hebert et al 1993","C. serpentina","Mirex",69.9586942464953,FALSE,31.9676527734608,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"17","Hebert et al 1993","C. serpentina","PCB 99",1568.71014398364,FALSE,1605.00164016736,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"18","Hebert et al 1993","C. serpentina","PCB 118",3422.37589953271,FALSE,3365.72492289301,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"19","Hebert et al 1993","C. serpentina","PCB 146",394.509467581776,FALSE,326.438325642558,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"20","Hebert et al 1993","C. serpentina","PCB 105",372.798959988318,FALSE,364.214737955768,FALSE,6.98,6.79,NA,"326.4",0,0,1,0,17,0,259,223.13,"32598-14-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"21","Hebert et al 1993","C. serpentina","PCB 138",2629.09952161215,FALSE,2225.7064196055,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"22","Hebert et al 1993","C. serpentina","PCB 183",742.87553942757,FALSE,484.705898147041,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"23","Hebert et al 1993","C. serpentina","PCB 172",132.786151489486,FALSE,81.1409620442319,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-74-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"24","Hebert et al 1993","C. serpentina","PCB 201",1240.88705490654,FALSE,618.578224745965,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"25","Hebert et al 1993","C. serpentina","PCB 195",293.97645239486,FALSE,141.622392528392,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,323,263.74,"52663-78-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"26","Hebert et al 1993","C. serpentina","PCB 194",935.845852803738,FALSE,390.342422833234,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"27","Hebert et al 1993","C. serpentina","PCB 206",284.46166083528,FALSE,102.773309145248,FALSE,9.56,9.14,NA,"464.2",0,0,1,0,21,0,351,277.27,"40186-72-9","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"28","Hebert et al 1993","C. serpentina","HCB",19.4911010451306,FALSE,25.2044424337349,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"29","Hebert et al 1993","C. serpentina","Oxychlordane",168.39275898654,FALSE,160.845382722892,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"30","Hebert et al 1993","C. serpentina","Mirex",1005.7550989707,FALSE,681.781491807229,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"31","Hebert et al 1993","C. serpentina","PCB 99",686.006136104513,FALSE,725.651083855422,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"32","Hebert et al 1993","C. serpentina","PCB 118",2623.49336104513,FALSE,2922.27503855422,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"33","Hebert et al 1993","C. serpentina","PCB 146",122.184930482977,FALSE,109.243444698795,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"34","Hebert et al 1993","C. serpentina","PCB 105",334.259686064925,FALSE,298.98351253012,FALSE,6.98,6.79,NA,"326.4",0,0,1,0,17,0,259,223.13,"32598-14-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"35","Hebert et al 1993","C. serpentina","PCB 138",2496.55350752177,FALSE,2346.22893156626,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"36","Hebert et al 1993","C. serpentina","PCB 183",456.010457878068,FALSE,333.000086024096,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"37","Hebert et al 1993","C. serpentina","PCB 172",60.9674488202692,FALSE,46.4253627469879,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-74-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"38","Hebert et al 1993","C. serpentina","PCB 201",407.158272050673,FALSE,270.868971325301,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"39","Hebert et al 1993","C. serpentina","PCB 195",98.1562627870151,FALSE,55.2913267469879,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,323,263.74,"52663-78-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"40","Hebert et al 1993","C. serpentina","PCB 194",306.459931908155,FALSE,151.264473277108,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"41","Hebert et al 1993","C. serpentina","PCB 206",85.9806764845606,FALSE,59.5687550843373,FALSE,9.56,9.14,NA,"464.2",0,0,1,0,21,0,351,277.27,"40186-72-9","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"42","Hebert et al 1993","C. serpentina","HCB",14.0086484473684,FALSE,16.2026737822878,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"43","Hebert et al 1993","C. serpentina","Oxychlordane",64.0618106578947,FALSE,58.5372302583026,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"44","Hebert et al 1993","C. serpentina","Mirex",735.326490263158,FALSE,498.404737269373,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"45","Hebert et al 1993","C. serpentina","PCB 99",324.362360877193,FALSE,300.096464575646,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"46","Hebert et al 1993","C. serpentina","PCB 118",1194.45714736842,FALSE,1312.2782795203,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"47","Hebert et al 1993","C. serpentina","PCB 146",136.954180877193,FALSE,110.740274630996,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"48","Hebert et al 1993","C. serpentina","PCB 105",106.016476929825,FALSE,111.620157416974,FALSE,6.98,6.79,NA,"326.4",0,0,1,0,17,0,259,223.13,"32598-14-4","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"49","Hebert et al 1993","C. serpentina","PCB 138",1281.58447807018,FALSE,1205.88620369004,FALSE,7.62,7.44,NA,"360.9",0,0,1,0,18,0,286,236.67,"35065-28-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"50","Hebert et al 1993","C. serpentina","PCB 183",260.648587719298,FALSE,198.860227490775,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-69-1","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"51","Hebert et al 1993","C. serpentina","PCB 172",50.9553478333333,FALSE,37.3055102214022,FALSE,8.27,NA,NA,"395.3",0,0,1,0,19,0,313,250.2,"52663-74-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"52","Hebert et al 1993","C. serpentina","PCB 201",270.013225175439,FALSE,244.87604298893,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,325,263.74,"40186-71-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
"53","Hebert et al 1993","C. serpentina","PCB 195",53.7902287894737,FALSE,32.5523214760148,FALSE,8.91,NA,NA,"429.8",0,0,1,0,20,0,323,263.74,"52663-78-2","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"54","Hebert et al 1993","C. serpentina","PCB 194",180.809252894737,FALSE,51.5180157564576,FALSE,8.91,8.68,NA,"429.8",0,0,1,0,20,0,307,263.74,"35694-08-7","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"55","Hebert et al 1993","C. serpentina","PCB 206",58.090647245614,FALSE,40.1099277675277,FALSE,9.56,9.14,NA,"464.2",0,0,1,0,21,0,351,277.27,"40186-72-9","---","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"56","Hebert et al 1993","C. serpentina","HCB",62.0813978403275,FALSE,98.9586820130475,FALSE,5.86,5.73,NA,"284.8",0,0,0,0,12,0,104,167,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"57","Hebert et al 1993","C. serpentina","Oxychlordane",281.996861105425,FALSE,397.347780055918,FALSE,5.48,NA,NA,"423.7",0,1,0,12.5,19,0,548,247.28,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"58","Hebert et al 1993","C. serpentina","Mirex",2351.76011156602,FALSE,2781.01724324324,FALSE,7.01,6.89,NA,"545.5",0,0,0,0,12,0,567,285.89,NA,NA,NA,NA,NA,"OCP - Organochlorine pesticides"
"59","Hebert et al 1993","C. serpentina","PCB 99",1850.1620716479,FALSE,3583.85836905871,FALSE,6.98,7.21,NA,"326.4",0,0,1,0,17,0,259,223.13,"38380-01-7","---","4CL","PP","-","PCB - Polychlorinated biphenyls"
"60","Hebert et al 1993","C. serpentina","PCB 118",3838.64267144319,FALSE,9656.34720410065,FALSE,6.98,7.12,NA,"326.4",0,0,1,0,17,0,259,223.13,"31508-00-6","CP1","4CL","PP","2M","PCB - Polychlorinated biphenyls"
"61","Hebert et al 1993","C. serpentina","PCB 146",658.60189457523,FALSE,784.965294780988,FALSE,7.62,7.19,NA,"360.9",0,0,1,0,18,0,286,236.67,"51908-16-8","---","4CL","--","2M","PCB - Polychlorinated biphenyls"
